Times,Região,Títulos,PTS,J,V,E,D,GP,GC,SG,CA,CV
Abc,Nordeste,4,135,130,33,36,61,130,174,-44,336,20
América de Natal,Nordeste,2,92,54,26,14,14,84,51,33,142,12
América-MG,Sudeste,2,267,190,73,48,69,196,203,-7,391,22
ASA,Nordeste,0,91,66,22,25,19,66,71,-5,181,10
Atlético-GO,Centro-Oeste,2,279,190,73,60,57,235,217,18,454,18
Atlético-MG,Sudeste,2,292,190,82,46,62,278,241,37,414,19
Athlético-PR,Sul,5,280,190,79,43,68,231,192,39,410,18
Avaí,Sul,1,232,190,59,55,76,180,236,-56,473,31
Bahia,Nordeste,4,268,190,70,58,62,238,207,31,435,28
Botafogo,Sudeste,2,278,190,78,44,68,217,202,15,440,16
Botafogo PB,Nordeste,3,123,90,31,30,29,110,103,7,253,15
Brasiliense,Centro-Oeste,1,23,12,6,5,1,14,5,9,19,1
Campinense,Nordeste,1,55,32,16,7,9,41,23,18,86,4
Ceará,Nordeste,3,249,190,65,54,71,205,208,-3,441,27
Central,Nordeste,0,47,32,13,8,11,40,33,7,101,5
Chapecoense,Sul,4,229,190,58,55,77,195,251,-56,417,16
Confiança,Nordeste,3,127,90,32,31,27,116,114,2,235,10
Corintinhas,Sudeste,5,308,190,85,53,52,245,172,73,370,13
Coritiba,Sul,1,251,190,64,59,67,202,213,-11,520,25
CRB,Nordeste,4,260,190,71,47,72,218,231,-13,480,36
Criciúma,Sul,0,237,190,59,60,71,204,222,-18,514,26
Cruzeiro,Sudeste,4,252,190,65,57,68,200,203,-3,451,27
Csa,Nordeste,3,169,116,46,31,39,128,124,4,299,10
Cuiabá,Centro-Oeste,6,148,110,37,37,36,131,120,11,334,18
Fast,Norte,1,0,0,0,0,0,0,0,0,0,0
Figueirense,Sul,1,215,190,49,68,73,189,238,-49,474,30
Flamengo,Sudeste,4,338,190,99,41,50,291,192,99,391,26
Flamengo Piauí,Nordeste,0,0,0,0,0,0,0,0,0,0,0
Flu de Feira,Nordeste,0,43,24,11,10,3,44,20,24,57,12
Fluminense,Sudeste,0,235,190,62,49,79,205,239,-34,453,31
Fortaleza,Nordeste,5,228,140,63,39,38,187,135,52,280,25
Gama,Centro-Oeste,3,13,8,3,4,1,9,6,3,25,2
Goiás,Centro-Oeste,4,245,190,68,41,81,223,257,-34,439,26
Grêmio,Sul,5,314,190,89,47,54,260,178,82,420,13
Guarani,Sudeste,0,209,150,55,44,51,156,150,6,335,19
Guarany de Sobral,Nordeste,0,17,26,2,11,13,20,48,-28,65,4
Imperatriz,Nordeste,2,45,32,12,9,11,48,36,12,71,5
Internacional,Sul,2,300,190,83,51,56,223,172,51,498,21
Joinville,Sul,0,117,118,28,33,57,102,152,-50,281,26
Luverdense,Centro-Oeste,2,190,150,46,52,52,167,163,4,348,24
Moto Club,Nordeste,2,37,18,10,7,1,30,9,21,33,3
Náutico,Nordeste,2,219,150,63,30,57,183,176,7,340,21
Palmeiras,Sudeste,3,350,190,102,44,44,308,186,122,468,19
Paraná,Sul,0,231,190,58,57,75,179,216,-37,459,32
Paysandu,Norte,4,228,170,57,57,56,190,189,1,446,26
Ponte Preta,Sudeste,0,250,190,65,55,70,209,213,-4,480,33
Remo,Norte,3,113,80,28,29,23,91,81,10,231,21
Rio Branco- Ac,Norte,2,47,32,13,8,11,45,50,-5,75,8
River,Nordeste,3,47,38,11,14,13,39,45,-6,108,9
Sampaio Corrêa,Nordeste,3,186,150,48,42,60,158,186,-28,366,29
Santa Cruz,Nordeste,2,191,152,50,41,61,198,209,-11,362,25
Santos,Sudeste,2,316,190,90,46,54,266,181,85,445,32
São Paulo,Sudeste,0,290,190,78,56,56,230,196,34,415,27
São Raimundo,Norte,1,44,24,13,5,6,45,24,21,67,2
Sergipe,Nordeste,2,28,24,7,7,10,32,34,-2,57,7
Sport,Nordeste,2,258,190,68,57,65,232,237,-5,393,23
Treze,Nordeste,1,46,32,12,10,10,47,36,11,90,8
Vasco,Sudeste,2,254,190,66,56,68,202,235,-33,524,33
Vila Nova,Centro-Oeste,1,240,170,61,57,52,184,171,13,424,26
Vitória,Nordeste,2,236,190,62,50,78,237,262,-25,500,32